level,word,choice_1,choice_2,choice_3,answer,explanation,status
3,abundant,rare,plentiful,careless,2,Abundant means existing in large amounts.,approved
3,concise,brief and clear,loud and emotional,old and unused,1,Concise means giving information clearly in few words.,approved
3,implication,a hidden possible meaning,a type of payment,a repeated sound,1,An implication is something suggested without being said directly.,approved
3,backfire,to have the opposite of the intended effect,to become very popular,to repair something fully,1,Backfire means to produce the opposite result from what was intended.,approved
3,contrast,to compare differences,to hide information,to make smaller,1,Contrast means to compare things by showing how they are different.,approved
3,deprive,to take something necessary away from someone,to explain in detail,to make something official,1,Deprive means to prevent someone from having something important.,approved
3,designate,to officially choose or name,to fall quickly,to avoid a problem,1,Designate means to officially choose someone or something for a purpose.,approved
3,devastate,to badly damage or deeply upset,to give a small reward,to move carefully,1,Devastate means to cause great damage or emotional pain.,approved
3,differentiate,to show or see the difference,to demand payment,to stay unchanged,1,Differentiate means to recognize or show how things are different.,approved
3,displace,to force out of a place or position,to make easier,to ask formally,1,Displace means to force someone or something out of its usual place.,approved
3,distinguish,to recognize as different,to keep secret,to return money,1,Distinguish means to notice or show the difference between things.,approved
3,distract,to take attention away,to give official permission,to keep safe,1,Distract means to take someone's attention away from something.,approved
3,dodge,to avoid quickly,to publish widely,to improve slowly,1,Dodge means to avoid something by moving quickly or cleverly.,approved
3,eliminate,to remove completely,to make public,to choose again,1,Eliminate means to remove or get rid of something.,approved
3,evacuate,to leave a dangerous place,to explain a rule,to increase slowly,1,Evacuate means to leave a place because it may be dangerous.,approved
3,exceed,to go beyond a limit,to stay in place,to fail quietly,1,Exceed means to be greater than a number or limit.,approved
3,exploit,to use for advantage often unfairly,to repair carefully,to ask politely,1,Exploit means to use something or someone for benefit often unfairly.,approved
3,intervene,to become involved to change a situation,to remember clearly,to measure exactly,1,Intervene means to become involved in order to affect what happens.,approved
3,modernize,to make more modern,to make less visible,to refuse strongly,1,Modernize means to update something so it fits current needs or styles.,approved
3,outlast,to last longer than,to begin earlier than,to speak louder than,1,Outlast means to continue longer than someone or something else.,approved
3,overlook,to fail to notice,to explain clearly,to increase greatly,1,Overlook means to fail to notice something.,approved
3,overwhelm,to affect someone too strongly,to choose carefully,to save money,1,Overwhelm means to affect someone so strongly that it is hard to manage.,approved
3,pinpoint,to identify exactly,to make public,to stop completely,1,Pinpoint means to find or identify something exactly.,approved
3,plummet,to fall suddenly and steeply,to grow slowly,to speak softly,1,Plummet means to fall very quickly and sharply.,approved
3,prescribe,to officially recommend a treatment or rule,to hide evidence,to travel often,1,Prescribe means to officially tell someone to use a medicine or follow a rule.,approved
3,prohibit,to forbid by rule or law,to provide equipment,to answer quickly,1,Prohibit means to officially forbid something.,approved
3,refurbish,to repair and improve,to blame publicly,to remove secretly,1,Refurbish means to repair and improve something old.,approved
3,regard,to consider in a certain way,to break into pieces,to delay a plan,1,Regard means to think of someone or something in a particular way.,approved
3,relieve,to reduce pain or worry,to replace completely,to divide equally,1,Relieve means to make pain worry or pressure less severe.,approved
3,restructure,to organize in a new way,to keep unchanged,to speak indirectly,1,Restructure means to organize something in a different way.,approved
3,rob,to steal from someone or somewhere,to give permission,to make official,1,Rob means to steal from a person or place.,approved
3,summon,to officially call someone to come,to clean thoroughly,to fall suddenly,1,Summon means to officially call someone to come.,approved
3,superimpose,to place one image or idea over another,to remove all traces,to decide too quickly,1,Superimpose means to place one thing over another so both are still seen.,approved
3,undermine,to weaken gradually,to repair fully,to praise strongly,1,Undermine means to weaken something gradually or secretly.,approved
3,wreak,to cause great damage,to gain a small benefit,to wait patiently,1,Wreak means to cause serious damage or trouble.,approved
3,unprecedented,never having happened before,common and expected,easy to repair,1,Unprecedented means never having happened before.,approved
3,sustainable,able to continue over time,likely to disappear soon,impossible to measure,1,Sustainable means able to continue without being used up or causing too much harm.,approved
3,volatile,likely to change suddenly,carefully planned,quietly helpful,1,Volatile means likely to change quickly and unexpectedly.,approved
3,viable,able to work successfully,clearly forbidden,deeply hidden,1,Viable means able to succeed or work as planned.,approved
3,feasible,possible and practical,extremely harmful,already complete,1,Feasible means possible to do in a practical way.,approved
3,vulnerable,easily harmed or affected,very profitable,officially chosen,1,Vulnerable means easily hurt damaged or affected.,approved
3,consecutive,following one after another,lack of following one after another,a rule used when dealing with following one after another,1,Consecutive means happening one after another without a break.,approved
3,comprehensive,complete and including many parts,temporary and weak,openly unfair,1,Comprehensive means complete and covering many details.,approved
3,regulatory,related to official rules or control,related to private emotions,likely to fall,1,Regulatory means connected with official rules or regulation.,approved
3,architectural,related to building design,related to public money,unable to continue,1,Architectural means related to the design or style of buildings.,approved
3,operational,related to how a system works,related to ancient history,not possible,1,Operational means related to the working or running of a system.,approved
3,profitable,able to make money,likely to fail legally,hard to remember,1,Profitable means producing financial gain.,approved
3,strategic,planned to reach a long term goal,done by accident,kept completely private,1,Strategic means carefully planned to achieve a goal.,approved
3,competitive,able or eager to compete successfully,not allowed by law,full of old parts,1,Competitive means able or eager to compete well.,approved
3,critical,extremely important or serious,pleasant but minor,already solved,1,Critical means very important serious or involving careful judgment.,approved
3,consecutively,one after another without interruption,randomly and rarely,secretly but clearly,1,Consecutively means one after another without interruption.,approved
3,explicitly,clearly and directly,without being stated,only by accident,1,Explicitly means clearly and directly stated.,approved
